Código,Producto,Categoría,KG x Unidad,KG x Bulto,Precio x Unidad,Precio x Bulto
SMSAX312,"Sahumerio Artesano - Ruda, romero incienso",SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX313,Sahumerio Artesano - Reina de la noche lavanda,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX314,Sahumerio Artesano - Gardenias calendula,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX315,Sahumerio Artesano - Incienso,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX316,Sahumerio Artesano - Jazmin y rosas,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX317,Sahumerio Artesano - Yagra,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX318,Sahumerio Artesano - Te verde- Flor de champa,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX319,"Sahumerio Artesano - Citronella, Naranja palo santo",SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX320,Sahumerio Artesano - Sándalo,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX321,Sahumerio Artesano - Lemon Grass olibano,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMSAX322,Sahumerio Artesano - Rosa,SAGRADA MADRE,30,"0,15","$1.861,66","$62,06"
SMPSSTICK,Palo Santo Stick Blend,SAGRADA MADRE,1,"0,10","$958,18","$958,18"
SMSPAV,Sahumerio Patagonia - Algarroba y Vainilla,SAGRADA MADRE,1,"0,01","$680,00","$680,00"
SMSPH,Sahumerio Patagonia - Hibiscus,SAGRADA MADRE,1,"0,01","$680,00","$680,00"
SMSPHMM,Sahumerio Patagonia - Hierba Mate y menta,SAGRADA MADRE,1,"0,01","$680,00","$680,00"
SMSPLS,Sahumerio Patagonia - Lavanda silvestre,SAGRADA MADRE,1,"0,01","$680,00","$680,00"
SMSPL,Sahumerio Patagonia - Limon,SAGRADA MADRE,1,"0,01","$680,00","$680,00"
SMSPRS,Sahumerio Patagonia - Rosa mosqueta,SAGRADA MADRE,1,"0,01","$680,00","$680,00"
SMSPN,Sahumerio Patagonia - Neroli,SAGRADA MADRE,1,"0,01","$680,00","$680,00"
SMSPNV,Sahumerio Patagonia - Naranja vainilla,SAGRADA MADRE,1,"0,01","$680,00","$680,00"
SMSPR,Sahumerio Patagonia - Ruda,SAGRADA MADRE,1,"0,01","$680,00","$680,00"
SMSPT,Sahumerio Patagonia - Tilo,SAGRADA MADRE,1,"0,01","$680,00","$680,00"
SMSPP,Sahumerio Patagonia - Palmarosa,SAGRADA MADRE,1,"0,01","$680,00","$680,00"
SMSPJ,Sahumerio Patagonia - Jazmin,SAGRADA MADRE,1,"0,01","$680,00","$680,00"
CSRF05,Sal rosada x 1/2 kg FINA,SAGRADA MADRE,"0,5","0,50","$715,00","$1.430,00"
CSRG05,Sal rosada x 1/2 kg GRUESA,SAGRADA MADRE,"0,5","0,50","$780,00","$1.560,00"
SMPAC,ANCESTRAL CHICA,SAGRADA MADRE,1,"0,50","$1.592,05","$1.592,05"
SMPAG,ANCESTRAL GRANDE,SAGRADA MADRE,1,"0,50","$1.856,88","$1.856,88"
SMPMT,MADRE TIERRA,SAGRADA MADRE,1,"0,50","$1.589,01","$1.589,01"
